epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,41.0225,1.93208,0.66239,0.95726,1.4188,0.00023324,0.00023324,0.00023324
2,70.2559,1.0896,0.85043,1,0.56202,0.000451307,0.000451307,0.000451307
3,98.4181,0.61733,0.90171,1,0.32108,0.000645458,0.000645458,0.000645458
4,126.642,0.34855,0.94017,1,0.2067,0.000709299,0.000709299,0.000709299
5,154.844,0.26483,0.9359,1,0.16876,0.000668066,0.000668066,0.000668066
6,183.054,0.22493,0.97863,1,0.11493,0.000626832,0.000626832,0.000626832
7,211.35,0.16146,0.97436,1,0.11592,0.000585599,0.000585599,0.000585599
8,239.56,0.13085,0.97863,1,0.08472,0.000544365,0.000544365,0.000544365
9,268.141,0.13845,0.97009,1,0.09397,0.000503132,0.000503132,0.000503132
10,296.782,0.11214,0.95299,1,0.11722,0.000461898,0.000461898,0.000461898
11,325.152,0.10983,0.96154,1,0.09895,0.000420665,0.000420665,0.000420665
12,353.515,0.0999,0.97009,1,0.07891,0.000379431,0.000379431,0.000379431
13,381.753,0.06849,0.96581,1,0.10809,0.000338198,0.000338198,0.000338198
14,410.09,0.08058,0.95726,1,0.10132,0.000296964,0.000296964,0.000296964
15,438.88,0.06793,0.96154,1,0.09484,0.000255731,0.000255731,0.000255731
16,467.204,0.04315,0.96581,1,0.10355,0.000214497,0.000214497,0.000214497
17,495.515,0.07393,0.97009,1,0.08196,0.000173264,0.000173264,0.000173264
18,523.872,0.09039,0.97436,1,0.08438,0.000132031,0.000132031,0.000132031
19,552.016,0.04446,0.97436,1,0.07478,9.0797e-05,9.0797e-05,9.0797e-05
20,580.581,0.0516,0.96581,1,0.08118,4.95635e-05,4.95635e-05,4.95635e-05
